,SNAP_TIME,WAIT_TIME_MILLI,WAIT_COUNT
0,202009280300,64,1
1,202009280300,32,4
2,202009241800,32,7
3,202009241800,8,303
4,202009250800,16,162
5,202009250800,4,2697
6,202009250800,2,19218
7,202009260600,4,420
8,202009260600,2,1439
9,202009271300,64,1
10,202009271300,8,92
11,202009271300,4,195
12,202009221200,128,4
13,202009221200,64,14
14,202009221500,128,6
15,202009230300,32,28
16,202009260700,8,89
17,202009260700,1,16308
18,202009280000,8,30
19,202009280000,2,450
20,202009280000,1,10556
21,202009202200,1,7537
22,202009211400,16,207
23,202009220600,64,8
24,202009220600,32,33
25,202009220600,16,114
26,202009220600,1,233937
27,202009230100,32,4
28,202009230100,16,29
29,202009230600,2,3764
30,202009230600,1,317505
31,202009232300,8,28
32,202009260200,32,51
33,202009201000,256,1
34,202009210100,32,6
35,202009231100,32,8
36,202009231200,8,190
37,202009231200,2,3766
38,202009231200,1,36436
39,202009240700,32,6
40,202009201600,16,6
41,202009201600,2,749
42,202009201600,1,9760
43,202009262300,8,63
44,202009270100,16,6
45,202009270100,2,466
46,202009210800,2,12369
47,202009221800,1,301240
48,202009222200,16,105
49,202009231400,128,1
50,202009231500,2,3541
51,202009231600,32,8
52,202009240900,8,631
53,202009250100,128,1
54,202009231800,32,10
55,202009231800,4,311
56,202009231800,1,18162
57,202009260400,128,1
58,202009260400,4,375
59,202009271600,16,2
60,202009271800,2,606
61,202009210200,64,20
62,202009210200,4,1534
63,202009210200,1,647213
64,202009211600,4,2374
65,202009221600,16,253
66,202009221600,4,2557
67,202009232000,128,1
68,202009232000,2,1934
69,202009240600,64,2
70,202009250600,4,454
71,202009230800,8,1161
72,202009241000,32,12
73,202009241000,16,164
74,202009260100,16,159
75,202009260100,8,157
76,202009271200,32,1
77,202009280600,8,56
78,202009200500,128,17
79,202009201100,1,505239
80,202009210600,64,1
81,202009210900,32,36
82,202009271500,16,10
83,202009280200,2,4737
84,202009201800,1,11854
85,202009231700,64,1
86,202009251900,8,50
87,202009260000,32,3
88,202009261400,64,1
89,202009261900,16,7
90,202009211500,1,175321
91,202009211700,16,172
92,202009212300,32,146
93,202009212300,16,267
94,202009220000,32,143
95,202009262000,8,31
96,202009220100,128,5
97,202009220100,64,19
98,202009220100,1,1365783
99,202009220500,16,33
100,202009220500,4,466
101,202009220700,64,1
102,202009221000,32,74
103,202009221000,8,1498
104,202009221700,64,14
105,202009230000,4,360
106,202009240800,16,97
107,202009240800,4,1090
108,202009262100,16,3
109,202009270900,2,1505
110,202009240500,1,13194
111,202009211800,2,3871
112,202009271400,32,12
113,202009241300,1,48411
114,202009241400,32,5
115,202009250700,256,1
116,202009250700,16,68
117,202009250700,2,4621
118,202009251000,4,2824
119,202009200600,256,7
120,202009200600,4,19657
121,202009200600,1,4014073
122,202009200700,16,632
123,202009200700,4,11357
124,202009221300,32,221
125,202009241600,8,155
126,202009241600,4,449
127,202009251100,16,200
128,202009261500,8,48
129,202009200100,8,261
130,202009200100,4,777
131,202009200100,1,145687
132,202009201300,32,4
133,202009230700,128,7
134,202009230700,32,33
135,202009230700,8,486
136,202009230700,4,1898
137,202009231900,2,1682
138,202009240400,16,9
139,202009242100,4,13584
140,202009251500,128,1
141,202009260500,64,1
142,202009260500,2,2246
143,202009261700,2,623
144,202009270700,8,35
145,202009270700,4,192
146,202009280100,128,1
147,202009262200,32,3
148,202009262200,16,19
149,202009270300,8,36
150,202009270300,1,19469
151,202009280700,8,98
152,202009280700,4,318
153,202009200800,256,6
154,202009200800,2,25355
155,202009220900,8,2826
156,202009270400,4,651
157,202009270800,32,1
158,202009270800,1,14509
159,202009202300,4,83
160,202009230500,64,6
161,202009240100,128,1
162,202009240100,32,28
163,202009240100,1,222563
164,202009251700,4,438
165,202009252000,64,8
166,202009252000,1,24557
167,202009271100,8,55
168,202009271100,4,123
169,202009280800,16,145
170,202009280900,8,416
171,202009240200,2,7899
172,202009210300,16,220
173,202009210300,8,383
174,202009210300,1,273579
175,202009210400,8,50
176,202009210400,4,204
177,202009210400,1,84119
178,202009210700,64,10
179,202009210700,8,317
180,202009221900,128,14
181,202009221900,8,381
182,202009240000,16,2
183,202009240000,4,32
184,202009241500,32,5
185,202009252300,16,32
186,202009252300,2,1712
187,202009270200,32,11
188,202009270200,2,4495
189,202009281000,32,20
190,202009281000,8,344
191,202009281000,4,1349
192,202009272200,16,30
193,202009220200,8,673
194,202009222000,32,42
195,202009250400,2,1150
196,202009250400,1,202755
197,202009200200,1,330800
198,202009280300,4,393
199,202009260600,32,2
200,202009271300,32,3
201,202009271300,1,32380
202,202009211100,8,457
203,202009221200,32,40
204,202009230300,64,2
205,202009251200,64,4
206,202009260800,1,22705
207,202009261000,8,63
208,202009261000,4,163
209,202009202200,16,12
210,202009211400,8,679
211,202009220600,4,1359
212,202009220600,2,4769
213,202009232300,4,123
214,202009251800,16,28
215,202009260200,256,2
216,202009201000,4,1687
217,202009201000,2,7332
218,202009210100,2,632
219,202009200400,256,7
220,202009200400,1,1559285
221,202009231200,32,8
222,202009250000,32,11
223,202009262300,1,27101
224,202009270100,1,10624
225,202009221800,128,4
226,202009222100,2,15612
227,202009222300,32,87
228,202009240900,256,1
229,202009240900,4,2226
230,202009250100,16,30
231,202009250300,32,28
232,202009231800,2,2210
233,202009242000,4,713
234,202009242300,64,1
235,202009242300,4,220
236,202009252200,16,23
237,202009252200,4,495
238,202009252200,1,25890
239,202009271000,32,1
240,202009271000,4,99
241,202009271600,32,2
242,202009271800,4,84
243,202009200300,256,6
244,202009211600,128,3
245,202009212100,4,5696
246,202009221600,32,39
247,202009232000,8,73
248,202009240600,8,96
249,202009240600,4,298
250,202009230800,128,3
251,202009260300,128,2
252,202009260300,16,56
253,202009280400,1,10836
254,202009280600,1,28071
255,202009200500,8,7561
256,202009201100,4,1148
257,202009250500,256,1
258,202009250500,128,2
259,202009250500,4,271
260,202009261300,8,79
261,202009201400,16,13
262,202009210600,8,179
263,202009210600,2,2582
264,202009210900,8,1078
265,202009230900,128,5
266,202009230900,64,10
267,202009280200,128,11
268,202009280200,16,83
269,202009201500,4,77
270,202009201800,32,1
271,202009201800,8,29
272,202009202000,4,105
273,202009210500,16,15
274,202009210500,2,892
275,202009231700,8,216
276,202009251600,4,583
277,202009251900,32,2
278,202009251900,16,20
279,202009251900,2,961
280,202009261900,4,65
281,202009211500,4,3142
282,202009211700,64,12
283,202009212300,4,2645
284,202009220100,16,320
285,202009221000,64,10
286,202009221700,4,1202
287,202009230000,32,15
288,202009230000,16,32
289,202009240800,8,281
290,202009240500,4,151
291,202009261100,4,131
292,202009211300,256,1
293,202009211300,4,3100
294,202009211300,1,180644
295,202009211800,128,9
296,202009211800,32,23
297,202009211800,16,92
298,202009211800,1,170940
299,202009271400,1,11716
300,202009241300,128,1
301,202009200600,16,917
302,202009200700,128,23
303,202009200700,32,307
304,202009221300,64,67
305,202009221300,16,964
306,202009251100,2,5708
307,202009261500,4,114
308,202009200100,2,1452
309,202009201300,8,75
310,202009201700,2,3203
311,202009201700,1,26081
312,202009202100,1,24030
313,202009211000,32,30
314,202009211000,8,779
315,202009211000,4,3416
316,202009211000,1,154162
317,202009240400,4,135
318,202009241700,64,2
319,202009241700,32,10
320,202009242100,32,49
321,202009251500,1,42764
322,202009260500,32,2
323,202009260500,16,39
324,202009261700,1,28029
325,202009270700,16,10
326,202009270700,1,11896
327,202009280100,16,26
328,202009280100,2,461
329,202009280100,1,7341
330,202009250900,128,5
331,202009250900,1,237280
332,202009251400,128,1
333,202009262200,8,66
334,202009270300,2,763
335,202009280700,32,2
336,202009280700,16,35
337,202009200800,64,56
338,202009200800,32,182
339,202009210000,8,52
340,202009210000,2,292
341,202009270800,2,971
342,202009230500,2,1882
343,202009231000,128,7
344,202009231000,16,111
345,202009231000,8,362
346,202009231000,2,7971
347,202009231300,64,90
348,202009231300,8,1047
349,202009232200,128,1
350,202009251700,2,1978
351,202009271700,64,1
352,202009271700,32,2
353,202009271700,4,133
354,202009280800,2,6168
355,202009280800,1,80314
356,202009280900,64,10
357,202009280900,16,150
358,202009240200,256,1
359,202009240200,128,3
360,202009240200,4,1273
361,202009210300,4,1158
362,202009210400,2,612
363,202009211900,128,3
364,202009212200,32,176
365,202009212200,1,1792804
366,202009221400,32,82
367,202009240000,2,185
368,202009240000,1,4821
369,202009240300,32,6
370,202009241100,16,98
371,202009241200,64,7
372,202009270200,64,6
373,202009272100,256,1
374,202009272100,32,3
375,202009272100,16,6
376,202009272100,8,32
377,202009272100,4,114
378,202009222000,64,33
379,202009200200,32,44
380,202009241800,4,1501
381,202009250800,1,305201
382,202009260600,64,2
383,202009271300,16,21
384,202009220800,32,45
385,202009201200,4,118
386,202009221500,64,20
387,202009221500,16,309
388,202009260800,2,1619
389,202009261000,1,17947
390,202009220600,8,483
391,202009230100,64,2
392,202009230100,2,775
393,202009230600,8,216
394,202009232300,1,13839
395,202009251800,4,205
396,202009260200,2,5503
397,202009261200,16,3
398,202009201000,64,41
399,202009210100,4,239
400,202009200400,8,4098
401,202009231100,8,238
402,202009260900,32,2
403,202009262300,32,4
404,202009221800,32,20
405,202009222200,64,3
406,202009222200,1,278062
407,202009222300,16,254
408,202009231400,4,843
409,202009231500,128,2
410,202009231500,64,5
411,202009231500,32,9
412,202009231600,64,4
413,202009240900,32,29
414,202009240900,16,178
415,202009240900,2,13612
416,202009240900,1,75681
417,202009250100,8,100
418,202009250100,1,142467
419,202009270500,8,182
420,202009270600,2,393
421,202009242000,1,38563
422,202009242300,8,68
423,202009242300,2,1609
424,202009242300,1,67001
425,202009252200,2,4111
426,202009201900,16,3
427,202009201900,4,109
428,202009260400,1,12201
429,202009271600,4,93
430,202009200300,32,161
431,202009210200,16,154
432,202009212100,32,173
433,202009221600,64,9
434,202009240600,32,2
435,202009240600,16,21
436,202009200000,128,2
437,202009200000,16,41
438,202009200000,8,347
439,202009200000,4,1158
440,202009230800,64,23
441,202009230800,16,332
442,202009241000,8,502
443,202009260300,8,108
444,202009280400,4,286
445,202009200500,64,101
446,202009200500,4,23518
447,202009200500,2,52966
448,202009201100,64,13
449,202009201100,32,54
450,202009242200,2,2304
451,202009261300,32,5
452,202009201400,4,69
453,202009210600,32,9
454,202009210900,4,4226
455,202009210900,2,18958
456,202009210900,1,140247
457,202009201800,16,6
458,202009202000,8,48
459,202009210500,128,1
460,202009210500,32,5
461,202009231700,16,78
462,202009232100,16,112
463,202009232100,1,80305
464,202009251600,64,3
465,202009251600,32,14
466,202009260000,4,389
467,202009261400,16,10
468,202009261900,64,1
469,202009211500,128,8
470,202009211700,128,5
471,202009211700,32,27
472,202009211700,8,700
473,202009211700,2,6161
474,202009212300,64,39
475,202009220000,128,11
476,202009220000,1,1477952
477,202009220500,32,9
478,202009221000,128,3
479,202009221000,2,19231
480,202009221700,8,379
481,202009221700,1,322616
482,202009230000,128,1
483,202009230000,1,259133
484,202009240800,32,5
485,202009262100,64,1
486,202009262100,4,67
487,202009240500,8,58
488,202009261100,8,55
489,202009211300,128,2
490,202009211300,16,184
491,202009211300,2,13181
492,202009211800,64,25
493,202009271400,64,1
494,202009281100,16,97
495,202009241300,32,18
496,202009241400,64,4
497,202009241400,2,7052
498,202009251000,2,11957
499,202009200600,2,47006
500,202009200700,8,3686
501,202009221100,4,4105
502,202009221300,128,16
503,202009221300,4,16112
504,202009241600,16,35
505,202009241600,1,20130
506,202009251100,256,1
507,202009251300,4,925
508,202009261500,32,1
509,202009200100,64,4
510,202009201700,16,52
511,202009202100,8,56
512,202009230200,16,172
513,202009230200,4,1531
514,202009230700,2,10664
515,202009240400,2,781
516,202009240400,1,12679
517,202009250200,64,3
518,202009250200,32,17
519,202009260500,1,41669
520,202009261600,4,78
521,202009261600,2,427
522,202009261700,4,120
523,202009272000,2,458
524,202009200800,128,9
525,202009200900,4,1709
526,202009210000,16,7
527,202009220300,8,392
528,202009220900,128,4
529,202009220900,16,811
530,202009270400,32,3
531,202009270400,16,8
532,202009202300,1,12349
533,202009231000,32,20
534,202009232200,16,54
535,202009232200,4,555
536,202009232200,1,10766
537,202009240100,2,17622
538,202009251700,1,21828
539,202009252000,8,381
540,202009280900,2,10506
541,202009240200,32,36
542,202009252100,128,2
543,202009252100,64,7
544,202009252100,16,159
545,202009252100,4,2750
546,202009210300,2,6008
547,202009210700,256,1
548,202009210700,2,5632
549,202009211900,32,19
550,202009211900,1,159914
551,202009212000,16,138
552,202009212000,1,156524
553,202009221900,1,301451
554,202009240300,128,1
555,202009241100,8,448
556,202009241100,4,1386
557,202009241500,64,2
558,202009252300,64,4
559,202009252300,4,293
560,202009272200,32,6
561,202009222000,128,8
562,202009222000,16,146
563,202009241900,64,3
564,202009272300,4,102
565,202009200200,16,432
566,202009280300,16,11
567,202009241800,1,65969
568,202009250800,32,20
569,202009260600,16,39
570,202009220800,8,906
571,202009201200,16,6
572,202009221500,8,1049
573,202009221500,4,3668
574,202009221500,1,291035
575,202009261000,16,7
576,202009280000,4,97
577,202009202200,4,114
578,202009211200,1,155342
579,202009211400,64,23
580,202009211400,32,21
581,202009251800,32,6
582,202009260200,64,48
583,202009270000,16,6
584,202009270000,8,32
585,202009201000,128,12
586,202009210100,64,1
587,202009200400,64,62
588,202009231100,256,1
589,202009231100,2,6224
590,202009240700,16,34
591,202009260900,1,32850
592,202009210800,16,237
593,202009222100,32,25
594,202009222100,4,3144
595,202009222100,1,317097
596,202009231400,16,109
597,202009231600,1,31320
598,202009250300,64,5
599,202009270500,32,8
600,202009270500,2,3058
601,202009270600,32,2
602,202009231800,256,2
603,202009242000,16,71
604,202009242300,32,6
605,202009271000,1,15196
606,202009271600,2,808
607,202009200300,8,4138
608,202009200300,1,992124
609,202009211600,64,8
610,202009211600,16,112
611,202009211600,8,489
612,202009212100,256,2
613,202009212100,2,33329
614,202009250600,2,2378
615,202009200000,64,3
616,202009230800,1,1283406
617,202009260100,32,2
618,202009260300,4,320
619,202009260300,2,1641
620,202009271200,8,43
621,202009271200,2,739
622,202009280600,32,3
623,202009280600,4,134
624,202009200500,1,3189312
625,202009242200,8,82
626,202009250500,32,18
627,202009261300,16,23
628,202009210600,128,1
629,202009210900,128,5
630,202009230900,4,2214
631,202009230900,2,14725
632,202009271500,8,24
633,202009271500,2,857
634,202009280200,4,749
635,202009201500,8,34
636,202009201500,1,9514
637,202009202000,2,899
638,202009210500,64,8
639,202009210500,8,71
640,202009210500,4,304
641,202009231700,32,4
642,202009231700,1,21254
643,202009251900,4,144
644,202009260000,1,26177
645,202009261400,8,37
646,202009261400,2,745
647,202009261400,1,8862
648,202009211500,8,750
649,202009212300,128,7
650,202009212300,8,1040
651,202009220000,512,1
652,202009220000,256,1
653,202009262000,2,307
654,202009220100,256,1
655,202009220100,4,2419
656,202009220700,8,423
657,202009220700,1,230144
658,202009221000,16,419
659,202009230000,2,1325
660,202009262100,32,2
661,202009270900,32,1
662,202009270900,8,53
663,202009211300,8,610
664,202009211800,8,267
665,202009211800,4,997
666,202009281100,2,5159
667,202009241300,4,1810
668,202009241400,16,119
669,202009250700,8,210
670,202009251000,64,14
671,202009251000,1,175326
672,202009200600,128,31
673,202009251100,1,54263
674,202009251300,256,1
675,202009251300,32,9
676,202009251300,16,82
677,202009251300,2,6686
678,202009201300,16,15
679,202009201300,2,1542
680,202009201700,32,7
681,202009201700,4,1293
682,202009202100,32,2
683,202009230200,2,10188
684,202009230700,1,299567
685,202009231900,16,25
686,202009231900,4,203
687,202009240400,8,41
688,202009242100,8,2804
689,202009242100,2,47037
690,202009250200,16,185
691,202009250200,2,11197
692,202009261600,16,12
693,202009261700,32,3
694,202009272000,32,1
695,202009280100,8,57
696,202009250900,16,442
697,202009250900,4,8356
698,202009251400,1,45443
699,202009261800,16,9
700,202009262200,4,210
701,202009270300,16,17
702,202009280500,16,18
703,202009280500,4,97
704,202009200900,64,39
705,202009200900,8,843
706,202009220300,64,3
707,202009220300,32,33
708,202009220300,4,1009
709,202009220300,1,254986
710,202009220900,64,12
711,202009220900,32,114
712,202009270400,1,18152
713,202009230500,32,18
714,202009230500,4,654
715,202009231000,4,1045
716,202009231300,32,123
717,202009231300,4,2816
718,202009232200,32,5
719,202009251700,8,170
720,202009271100,16,9
721,202009271100,1,13125
722,202009271700,8,28
723,202009271700,1,22039
724,202009240200,8,443
725,202009210400,16,15
726,202009210700,16,78
727,202009211900,2,4620
728,202009212000,4,1676
729,202009212200,8,1369
730,202009221400,64,14
731,202009221400,16,477
732,202009240000,32,2
733,202009241100,32,7
734,202009241200,16,93
735,202009241200,4,943
736,202009241200,2,5473
737,202009241500,128,1
738,202009241500,16,101
739,202009270200,16,73
740,202009272200,8,99
741,202009272200,1,10513
742,202009230400,32,10
743,202009241900,8,39
744,202009272300,16,11
745,202009200200,8,2402
746,202009280300,1,36403
747,202009241800,16,73
748,202009250800,64,7
749,202009260600,128,1
750,202009220800,256,1
751,202009221200,16,288
752,202009201200,2,745
753,202009221500,32,52
754,202009230300,1,367811
755,202009261000,2,1004
756,202009211200,128,1
757,202009211200,4,2005
758,202009230600,32,8
759,202009251800,8,53
