,SNAP_TIME,TOTAL_WAIT#,TOTAL_REQ#,CUM_WAIT_TIME,FAILED_REQ#
0,202010230000,,,,
1,202010230100,0.0,0.0,0.0,0.0
2,202010230200,6.0,6.0,12.0,0.0
3,202010230300,574.0,576.0,1178.0,0.0
4,202010230400,763.0,763.0,1737.0,0.0
5,202010230500,401.0,401.0,1130.0,0.0
6,202010230600,665.0,669.0,1128.0,0.0
7,202010230700,649.0,649.0,3984.0,0.0
8,202010230800,1257.0,1260.0,33814.0,0.0
9,202010230900,1437.0,1442.0,59685.0,0.0
10,202010231000,1072.0,1077.0,18976.0,2.0
11,202010231100,1348.0,1356.0,52799.0,2.0
12,202010231200,1171.0,1174.0,26072.0,1.0
13,202010231300,892.0,895.0,16433.0,0.0
14,202010231400,1048.0,1058.0,27485.0,2.0
15,202010231500,764.0,765.0,7005.0,1.0
16,202010231600,709.0,711.0,3276.0,0.0
17,202010231700,658.0,658.0,1422.0,0.0
18,202010231800,453.0,455.0,1497.0,0.0
19,202010231900,147.0,147.0,476.0,0.0
20,202010232000,63.0,63.0,229.0,0.0
21,202010232100,53.0,53.0,422.0,0.0
22,202010232200,54.0,54.0,93.0,0.0
23,202010232300,22.0,22.0,92.0,0.0
24,202010240000,5.0,5.0,69.0,0.0
25,202010240100,0.0,0.0,0.0,0.0
26,202010240200,67.0,67.0,262.0,0.0
27,202010240300,598.0,598.0,1630.0,0.0
28,202010240400,499.0,499.0,894.0,0.0
29,202010240500,460.0,466.0,2826.0,0.0
30,202010240601,524.0,524.0,2261.0,0.0
31,202010240700,617.0,617.0,6583.0,0.0
32,202010240800,724.0,724.0,17844.0,0.0
33,202010240900,889.0,889.0,19903.0,0.0
34,202010241000,829.0,830.0,33158.0,0.0
35,202010241100,734.0,734.0,12555.0,0.0
36,202010241200,742.0,743.0,7244.0,0.0
37,202010241300,804.0,804.0,2878.0,0.0
38,202010241400,805.0,809.0,4399.0,0.0
39,202010241500,363.0,363.0,2147.0,0.0
40,202010241600,227.0,227.0,875.0,0.0
41,202010241700,84.0,84.0,255.0,0.0
42,202010241800,119.0,119.0,578.0,0.0
43,202010241900,49.0,49.0,487.0,0.0
44,202010242000,39.0,39.0,96.0,0.0
45,202010242100,38.0,38.0,83.0,0.0
46,202010242200,40.0,40.0,55.0,0.0
47,202010242300,42.0,42.0,731.0,0.0
48,202010250000,205.0,205.0,12759.0,0.0
49,202010250100,3.0,3.0,9.0,0.0
50,202010250200,1.0,2.0,0.0,0.0
51,202010250200,0.0,0.0,0.0,0.0
52,202010250300,3.0,3.0,5.0,0.0
53,202010250400,2.0,2.0,99.0,0.0
54,202010250500,6.0,6.0,24.0,0.0
55,202010250600,8.0,8.0,32.0,0.0
56,202010250700,16.0,16.0,17.0,0.0
57,202010250800,1702.0,1742.0,3787.0,0.0
58,202010250900,71.0,71.0,304.0,0.0
59,202010251000,55.0,55.0,56.0,0.0
60,202010251100,73.0,73.0,88.0,0.0
61,202010251200,39.0,39.0,247.0,0.0
62,202010251300,49.0,49.0,65.0,0.0
63,202010251400,92.0,92.0,313.0,0.0
64,202010251500,109.0,109.0,963.0,0.0
65,202010251600,46.0,46.0,591.0,0.0
66,202010251700,67.0,67.0,1047.0,0.0
67,202010251800,50.0,50.0,451.0,0.0
68,202010251901,49.0,49.0,116.0,0.0
69,202010252000,64.0,64.0,985.0,0.0
70,202010252100,33.0,33.0,280.0,0.0
71,202010252200,23.0,23.0,71.0,0.0
72,202010252300,10.0,10.0,33.0,0.0
73,202010260000,13.0,13.0,5948.0,0.0
74,202010260100,3.0,3.0,20.0,0.0
75,202010260200,33.0,34.0,1482.0,0.0
76,202010260300,4.0,4.0,2.0,0.0
77,202010260400,3.0,3.0,3.0,0.0
78,202010260500,3.0,3.0,1.0,0.0
79,202010260600,13.0,13.0,15.0,0.0
80,202010260700,146.0,146.0,2572.0,0.0
81,202010260800,3019.0,3050.0,11104.0,0.0
82,202010260900,886.0,888.0,16669.0,0.0
83,202010261000,914.0,920.0,22406.0,1.0
84,202010261100,1026.0,1034.0,34614.0,0.0
85,202010261200,879.0,885.0,19578.0,0.0
86,202010261300,676.0,681.0,7976.0,0.0
87,202010261400,997.0,1000.0,35797.0,0.0
88,202010261500,596.0,597.0,8847.0,0.0
89,202010261600,430.0,433.0,5682.0,0.0
90,202010261700,329.0,330.0,4836.0,0.0
91,202010261800,140.0,140.0,2817.0,0.0
92,202010261900,90.0,90.0,902.0,0.0
93,202010262000,65.0,66.0,137.0,0.0
94,202010262100,47.0,47.0,74.0,0.0
95,202010262200,46.0,46.0,56.0,0.0
96,202010262300,25.0,25.0,324.0,0.0
97,202010270000,3.0,3.0,9.0,0.0
98,202010270100,1.0,1.0,5.0,0.0
99,202010270200,187.0,189.0,692.0,0.0
100,202010270300,807.0,807.0,2221.0,0.0
101,202010270400,678.0,678.0,1339.0,0.0
102,202010270500,516.0,516.0,1313.0,0.0
103,202010270600,541.0,541.0,1357.0,0.0
104,202010270700,684.0,684.0,3277.0,0.0
105,202010270800,3003.0,3026.0,22231.0,0.0
106,202010270900,1335.0,1340.0,34096.0,1.0
107,202010271000,1306.0,1318.0,50857.0,0.0
108,202010271100,1197.0,1203.0,199333.0,2.0
109,202010271200,791.0,792.0,127110.0,1.0
110,202010271300,1322.0,1326.0,26505.0,1.0
111,202010271400,1583.0,1588.0,64860.0,0.0
112,202010271500,1042.0,1046.0,22828.0,0.0
113,202010271600,922.0,923.0,12546.0,1.0
114,202010271700,357.0,357.0,3375.0,0.0
115,202010271800,204.0,204.0,665.0,0.0
116,202010271900,94.0,94.0,429.0,0.0
117,202010272000,117.0,117.0,856.0,0.0
118,202010272100,73.0,73.0,1047.0,0.0
119,202010272200,50.0,50.0,604.0,0.0
120,202010272300,40.0,40.0,1065.0,0.0
121,202010280000,6.0,6.0,58.0,0.0
122,202010280100,2.0,2.0,23.0,0.0
123,202010280200,42.0,43.0,44.0,0.0
124,202010280300,688.0,688.0,2094.0,0.0
125,202010280400,347.0,347.0,1105.0,0.0
126,202010280500,252.0,253.0,825.0,0.0
127,202010280600,481.0,483.0,2131.0,0.0
128,202010280700,619.0,619.0,2335.0,0.0
129,202010280800,3231.0,3244.0,19120.0,1.0
130,202010280900,1420.0,1424.0,39883.0,0.0
131,202010281000,1779.0,1783.0,96898.0,0.0
132,202010281100,1965.0,1970.0,115467.0,1.0
133,202010281200,1188.0,1190.0,30756.0,0.0
134,202010281300,993.0,996.0,16697.0,0.0
135,202010281400,1637.0,1640.0,62591.0,0.0
136,202010281500,977.0,977.0,17470.0,0.0
137,202010281600,779.0,779.0,6204.0,0.0
138,202010281700,291.0,291.0,95844.0,0.0
139,202010281800,85.0,85.0,11005.0,0.0
140,202010281900,21.0,21.0,199.0,0.0
141,202010282000,6.0,6.0,73.0,0.0
142,202010282100,46.0,46.0,340.0,0.0
143,202010282200,89.0,89.0,32852.0,0.0
144,202010282300,86.0,86.0,1853.0,0.0
145,202010290000,24.0,24.0,63.0,0.0
146,202010290100,8.0,8.0,24.0,0.0
147,202010290200,10.0,10.0,152.0,0.0
148,202010290300,173.0,173.0,882.0,0.0
149,202010290400,872.0,872.0,4497.0,0.0
150,202010290500,525.0,525.0,892.0,0.0
151,202010290600,356.0,356.0,858.0,0.0
152,202010290700,680.0,680.0,2671.0,0.0
153,202010290800,2630.0,2644.0,10612.0,0.0
154,202010290900,966.0,969.0,18055.0,0.0
155,202010291000,1086.0,1090.0,18836.0,0.0
156,202010291100,1297.0,1302.0,35159.0,0.0
157,202010291200,977.0,979.0,10848.0,0.0
158,202010291300,830.0,830.0,7847.0,0.0
159,202010291400,1024.0,1029.0,16762.0,0.0
160,202010291500,946.0,951.0,11627.0,1.0
161,202010291600,617.0,617.0,4151.0,0.0
162,202010291700,477.0,477.0,899.0,0.0
163,202010291800,634.0,638.0,1476.0,0.0
164,202010291900,663.0,663.0,2051.0,0.0
165,202010292000,691.0,691.0,11645.0,0.0
166,202010292100,696.0,698.0,3788.0,0.0
167,202010292200,656.0,656.0,1904.0,0.0
168,202010292300,319.0,319.0,5113.0,0.0
169,202010300000,3.0,3.0,12.0,0.0
170,202010300100,0.0,0.0,0.0,0.0
171,202010300200,7.0,7.0,134.0,0.0
172,202010300300,444.0,444.0,731.0,0.0
173,202010300400,839.0,839.0,1318.0,0.0
174,202010300500,322.0,322.0,725.0,0.0
175,202010300600,506.0,506.0,1174.0,0.0
176,202010300700,627.0,627.0,2349.0,0.0
177,202010300800,1210.0,1217.0,22511.0,0.0
178,202010300900,1314.0,1315.0,38987.0,1.0
179,202010301000,1014.0,1015.0,17358.0,0.0
180,202010301100,1325.0,1329.0,38256.0,0.0
181,202010301200,1211.0,1211.0,27069.0,0.0
182,202010301300,737.0,737.0,7322.0,0.0
183,202010301400,711.0,712.0,7720.0,0.0
184,202010301500,682.0,687.0,6828.0,0.0
185,202010301600,756.0,757.0,3494.0,1.0
186,202010301700,721.0,721.0,3017.0,0.0
187,202010301800,697.0,699.0,2056.0,0.0
188,202010301900,97.0,97.0,227.0,0.0
189,202010302000,62.0,62.0,308.0,0.0
190,202010302100,35.0,35.0,241.0,0.0
191,202010302200,38.0,38.0,117.0,0.0
192,202010302300,25.0,25.0,169.0,0.0
193,202010310000,12.0,12.0,93.0,0.0
194,202010310100,0.0,0.0,0.0,0.0
195,202010310200,2.0,2.0,6.0,0.0
196,202010310300,659.0,661.0,1586.0,0.0
197,202010310400,552.0,552.0,957.0,0.0
198,202010310500,540.0,540.0,974.0,0.0
199,202010310600,534.0,534.0,1089.0,0.0
200,202010310700,512.0,512.0,4248.0,0.0
201,202010310800,558.0,558.0,4914.0,0.0
202,202010310900,708.0,708.0,2607.0,0.0
203,202010311000,598.0,598.0,3027.0,0.0
204,202010311100,779.0,779.0,1439.0,0.0
205,202010311200,675.0,677.0,2812.0,0.0
206,202010311300,131.0,131.0,299.0,0.0
207,202010311400,210.0,212.0,631.0,2.0
208,202010311500,116.0,116.0,661.0,0.0
209,202010311600,118.0,118.0,871.0,0.0
210,202010311700,117.0,117.0,381.0,0.0
211,202010311800,111.0,111.0,1286.0,0.0
212,202010311900,94.0,94.0,384.0,0.0
213,202010312000,69.0,69.0,453.0,0.0
214,202010312100,44.0,46.0,503.0,0.0
215,202010312200,39.0,39.0,380.0,0.0
216,202010312300,24.0,24.0,382.0,0.0
217,202011010000,28.0,28.0,201.0,0.0
218,202011010100,7.0,7.0,13.0,0.0
219,202011010200,4.0,4.0,5.0,0.0
220,202011010300,1.0,1.0,0.0,0.0
221,202011010400,1.0,1.0,0.0,0.0
222,202011010500,3.0,3.0,2.0,0.0
223,202011010600,6.0,6.0,10.0,0.0
224,202011010700,25.0,25.0,194.0,0.0
225,202011010800,2149.0,2183.0,10102.0,0.0
226,202011010900,136.0,136.0,803.0,0.0
227,202011011000,151.0,152.0,808.0,1.0
228,202011011100,5.0,5.0,10.0,0.0
229,202011011200,7.0,7.0,34.0,0.0
230,202011011300,69.0,69.0,745.0,0.0
231,202011011400,138.0,138.0,1001.0,0.0
232,202011011500,170.0,170.0,1233.0,0.0
233,202011011600,108.0,110.0,808.0,0.0
234,202011011700,116.0,116.0,1302.0,0.0
235,202011011800,116.0,116.0,864.0,0.0
236,202011011900,85.0,85.0,497.0,0.0
237,202011012000,126.0,126.0,931.0,0.0
238,202011012100,87.0,87.0,918.0,0.0
239,202011012200,54.0,54.0,681.0,0.0
240,202011012300,25.0,25.0,391.0,0.0
241,202011020000,13.0,13.0,8.0,0.0
242,202011020100,0.0,0.0,0.0,0.0
243,202011020200,1.0,1.0,24.0,0.0
244,202011020300,1.0,1.0,0.0,0.0
245,202011020400,3.0,3.0,4.0,0.0
246,202011020500,4.0,4.0,4.0,0.0
247,202011020600,7.0,7.0,81.0,0.0
248,202011020700,302.0,302.0,2033.0,0.0
249,202011020800,2939.0,2947.0,15449.0,0.0
250,202011020900,1519.0,1523.0,81315.0,1.0
251,202011021000,1411.0,1419.0,62282.0,1.0
252,202011021101,1546.0,1552.0,92007.0,0.0
253,202011021200,1119.0,1122.0,38235.0,0.0
254,202011021300,792.0,793.0,16232.0,0.0
255,202011021400,1757.0,1771.0,50982.0,1.0
256,202011021500,1107.0,1107.0,18907.0,0.0
257,202011021600,731.0,735.0,6745.0,0.0
258,202011021700,435.0,435.0,2394.0,0.0
259,202011021800,219.0,219.0,2136.0,0.0
260,202011021900,109.0,109.0,818.0,0.0
261,202011022000,74.0,74.0,586.0,0.0
262,202011022100,70.0,70.0,497.0,0.0
263,202011022200,47.0,47.0,287.0,0.0
264,202011022300,16.0,16.0,420.0,0.0
265,202011030000,9.0,9.0,144.0,0.0
266,202011030100,0.0,0.0,0.0,0.0
267,202011030200,6.0,6.0,60.0,0.0
268,202011030300,563.0,563.0,881.0,0.0
269,202011030400,566.0,566.0,1358.0,0.0
270,202011030500,423.0,423.0,1269.0,0.0
271,202011030600,436.0,436.0,1135.0,0.0
272,202011030700,689.0,690.0,5837.0,0.0
273,202011030800,2464.0,2494.0,60379.0,0.0
274,202011030900,2476.0,2485.0,249642.0,0.0
275,202011031000,1860.0,1871.0,97874.0,1.0
276,202011031100,2109.0,2111.0,179362.0,1.0
277,202011031200,1706.0,1711.0,73953.0,1.0
278,202011031300,1251.0,1256.0,53088.0,0.0
279,202011031400,1745.0,1750.0,104759.0,1.0
280,202011031500,1215.0,1217.0,39915.0,1.0
281,202011031600,1138.0,1138.0,20172.0,0.0
282,202011031700,938.0,938.0,6476.0,0.0
283,202011031800,307.0,307.0,3318.0,0.0
284,202011031900,120.0,120.0,1511.0,0.0
285,202011032000,101.0,101.0,557.0,0.0
286,202011032100,108.0,108.0,553.0,0.0
287,202011032200,80.0,80.0,487.0,0.0
288,202011032300,99.0,99.0,5499.0,0.0
289,202011040000,9.0,9.0,184.0,0.0
290,202011040100,2.0,2.0,40.0,0.0
291,202011040200,2.0,3.0,0.0,0.0
292,202011040300,380.0,382.0,762.0,0.0
293,202011040400,830.0,832.0,1004.0,0.0
294,202011040500,491.0,491.0,1092.0,0.0
295,202011040600,480.0,480.0,1136.0,0.0
296,202011040700,701.0,701.0,3357.0,0.0
297,202011040800,3035.0,3051.0,15941.0,2.0
298,202011040900,1542.0,1543.0,122811.0,1.0
299,202011041000,2095.0,2105.0,103576.0,1.0
300,202011041100,2200.0,2205.0,126787.0,0.0
301,202011041200,1174.0,1177.0,30181.0,0.0
302,202011041300,642.0,643.0,7241.0,1.0
303,202011041400,1574.0,1579.0,52871.0,0.0
304,202011041500,1000.0,1002.0,22301.0,0.0
305,202011041600,688.0,689.0,4387.0,0.0
306,202011041700,482.0,482.0,1600.0,0.0
307,202011041800,255.0,255.0,1531.0,0.0
308,202011041900,108.0,108.0,924.0,0.0
309,202011042000,95.0,95.0,478.0,0.0
310,202011042100,67.0,67.0,682.0,0.0
311,202011042200,48.0,48.0,542.0,0.0
312,202011042300,41.0,41.0,256.0,0.0
313,202011050000,15.0,15.0,251.0,0.0
314,202011050100,1.0,1.0,12.0,0.0
315,202011050200,2.0,2.0,15.0,0.0
316,202011050300,10.0,10.0,196.0,0.0
317,202011050400,711.0,711.0,87348.0,0.0
318,202011050500,542.0,542.0,45504.0,0.0
319,202011050600,288.0,288.0,22523.0,0.0
320,202011050700,629.0,629.0,93931.0,0.0
321,202011050800,2979.0,2998.0,182301.0,1.0
322,202011050900,1994.0,2004.0,136156.0,1.0
323,202011051000,2306.0,2315.0,206265.0,2.0
324,202011051100,1667.0,1673.0,460568.0,3.0
325,202011051200,1320.0,1324.0,73635.0,1.0
326,202011051300,1214.0,1219.0,16544.0,0.0
327,202011051400,1735.0,1739.0,112563.0,3.0
328,202011051500,1387.0,1390.0,25127.0,0.0
329,202011051600,1160.0,1160.0,8338.0,0.0
330,202011051700,845.0,845.0,2811.0,0.0
331,202011051800,429.0,429.0,1389.0,0.0
332,202011051914,35.0,35.0,26759.0,0.0
333,202011052000,4.0,4.0,89.0,0.0
334,202011052100,45.0,47.0,131628.0,0.0
335,202011052200,484.0,483.0,5803164.0,0.0
336,202011052300,330.0,334.0,3441006.0,0.0
337,202011060000,447.0,447.0,7774603.0,0.0
338,202011060100,421.0,416.0,5402577.0,0.0
339,202011060200,428.0,430.0,2577731.0,0.0
340,202011060300,1167.0,1167.0,3861086.0,0.0
341,202011060400,917.0,917.0,271295.0,0.0
342,202011060500,624.0,624.0,84962.0,0.0
343,202011060600,833.0,835.0,173961.0,0.0
344,202011060700,1668.0,1671.0,861224.0,0.0
345,202011060800,5289.0,5296.0,8331999.0,0.0
346,202011060900,7243.0,7263.0,14204496.0,1.0
347,202011061000,10002.0,10011.0,14840372.0,1.0
348,202011061100,11227.0,11244.0,15113128.0,1.0
349,202011061200,5784.0,5793.0,13972349.0,0.0
350,202011061300,3539.0,3537.0,18758258.0,0.0
351,202011061400,5284.0,5294.0,11237207.0,1.0
352,202011061500,4559.0,4564.0,14637142.0,0.0
353,202011061600,4011.0,4018.0,12628836.0,1.0
354,202011061700,6132.0,6135.0,17298108.0,0.0
355,202011061800,3894.0,3894.0,17168920.0,0.0
356,202011061900,2146.0,2144.0,16766761.0,0.0
357,202011062000,1891.0,1893.0,16247672.0,0.0
358,202011062100,1278.0,1278.0,16638234.0,0.0
359,202011062200,1323.0,1323.0,15499552.0,0.0
360,202011062300,1113.0,1110.0,13509528.0,0.0
361,202011070000,8.0,8.0,7.0,0.0
362,202011070100,8.0,8.0,164.0,0.0
363,202011070200,4.0,6.0,41.0,0.0
364,202011070300,865.0,867.0,479778.0,0.0
365,202011070400,932.0,934.0,350300.0,0.0
366,202011070500,397.0,398.0,101613.0,0.0
367,202011070600,700.0,699.0,179983.0,0.0
368,202011070700,731.0,731.0,273891.0,0.0
369,202011070800,879.0,879.0,301500.0,0.0
370,202011070900,1068.0,1068.0,345258.0,0.0
371,202011071000,1003.0,1006.0,279975.0,0.0
372,202011071100,1185.0,1187.0,337827.0,0.0
373,202011071200,875.0,875.0,77763.0,0.0
374,202011071300,1021.0,1021.0,106078.0,0.0
375,202011071400,1049.0,1049.0,412257.0,0.0
376,202011071500,988.0,988.0,451338.0,0.0
377,202011071600,922.0,922.0,128971.0,0.0
378,202011071700,173.0,173.0,3532.0,0.0
379,202011071800,95.0,95.0,1478.0,0.0
380,202011071900,37.0,37.0,827.0,0.0
381,202011072000,27.0,27.0,306.0,0.0
382,202011072100,34.0,34.0,538.0,0.0
383,202011072200,23.0,23.0,402.0,0.0
384,202011072300,32.0,32.0,718.0,0.0
385,202011080000,18.0,18.0,362.0,0.0
386,202011080100,9.0,15.0,84.0,0.0
387,202011080200,6.0,8.0,46.0,0.0
388,202011080300,14.0,14.0,223.0,0.0
389,202011080400,18.0,18.0,296.0,0.0
390,202011080500,9.0,9.0,134.0,0.0
391,202011080600,12.0,12.0,384.0,0.0
392,202011080700,18.0,18.0,89.0,0.0
393,202011080800,1425.0,1431.0,211060.0,0.0
394,202011080900,162.0,162.0,6232.0,0.0
395,202011081000,129.0,129.0,2006.0,0.0
396,202011081100,20.0,20.0,283.0,0.0
397,202011081200,3.0,3.0,82.0,0.0
